Row,Column,GW,Celda,Rw_Clmn
3,330,Q01,c3,"3,330"
3,332,Q01,c5,"3,332"
4,331,Q01,c7,"4,331"
5,274,Q01,c9,"5,274"
5,275,Q01,c10,"5,275"
5,278,Q01,c13,"5,278"
5,279,Q01,c14,"5,279"
6,268,Q01,c18,"6,268"
6,269,Q01,c19,"6,269"
6,274,Q01,c20,"6,274"
6,275,Q01,c21,"6,275"
6,278,Q01,c24,"6,278"
6,279,Q01,c25,"6,279"
7,268,Q01,c29,"7,268"
7,269,Q01,c30,"7,269"
7,273,Q01,c31,"7,273"
7,274,Q01,c32,"7,274"
7,278,Q01,c36,"7,278"
7,279,Q01,c37,"7,279"
7,280,Q01,c38,"7,280"
7,281,Q01,c39,"7,281"
7,282,Q01,c40,"7,282"
8,267,Q01,c44,"8,267"
8,268,Q01,c45,"8,268"
8,269,Q01,c46,"8,269"
8,270,Q01,c47,"8,270"
8,271,Q01,c48,"8,271"
8,272,Q01,c49,"8,272"
8,273,Q01,c50,"8,273"
8,274,Q01,c51,"8,274"
8,277,Q01,c54,"8,277"
8,278,Q01,c55,"8,278"
8,279,Q01,c56,"8,279"
8,280,Q01,c57,"8,280"
8,281,Q01,c58,"8,281"
8,282,Q01,c59,"8,282"
9,271,Q01,c67,"9,271"
9,272,Q01,c68,"9,272"
9,273,Q01,c69,"9,273"
9,277,Q01,c73,"9,277"
9,278,Q01,c74,"9,278"
9,279,Q01,c75,"9,279"
9,280,Q01,c76,"9,280"
10,277,Q01,c89,"10,277"
10,278,Q01,c90,"10,278"
10,279,Q01,c91,"10,279"
10,332,Q01,c95,"10,332"
10,333,Q01,c96,"10,333"
11,277,Q01,c106,"11,277"
11,278,Q01,c107,"11,278"
11,329,Q01,c110,"11,329"
11,332,Q01,c113,"11,332"
11,333,Q01,c114,"11,333"
12,278,Q01,c125,"12,278"
12,301,Q01,c127,"12,301"
12,310,Q01,c128,"12,310"
12,311,Q01,c129,"12,311"
12,312,Q01,c130,"12,312"
12,325,Q01,c131,"12,325"
12,332,Q01,c138,"12,332"
12,333,Q01,c139,"12,333"
12,334,Q01,c140,"12,334"
13,268,Q01,c141,"13,268"
13,289,Q01,c155,"13,289"
13,290,Q01,c156,"13,290"
13,301,Q01,c157,"13,301"
13,305,Q01,c158,"13,305"
13,306,Q01,c159,"13,306"
13,309,Q01,c160,"13,309"
13,310,Q01,c161,"13,310"
13,311,Q01,c162,"13,311"
13,312,Q01,c163,"13,312"
13,313,Q01,c164,"13,313"
13,314,Q01,c165,"13,314"
13,333,Q01,c174,"13,333"
13,334,Q01,c175,"13,334"
14,268,Q01,c176,"14,268"
14,269,Q01,c177,"14,269"
14,270,Q01,c178,"14,270"
14,271,Q01,c179,"14,271"
14,283,Q01,c191,"14,283"
14,284,Q01,c192,"14,284"
14,285,Q01,c193,"14,285"
14,289,Q01,c194,"14,289"
14,290,Q01,c195,"14,290"
14,300,Q01,c196,"14,300"
14,301,Q01,c197,"14,301"
14,302,Q01,c198,"14,302"
14,304,Q01,c199,"14,304"
14,305,Q01,c200,"14,305"
14,306,Q01,c201,"14,306"
14,307,Q01,c202,"14,307"
14,308,Q01,c203,"14,308"
14,309,Q01,c204,"14,309"
14,310,Q01,c205,"14,310"
14,311,Q01,c206,"14,311"
14,312,Q01,c207,"14,312"
14,313,Q01,c208,"14,313"
14,314,Q01,c209,"14,314"
14,333,Q01,c218,"14,333"
14,334,Q01,c219,"14,334"
14,335,Q01,c220,"14,335"
14,336,Q01,c221,"14,336"
